avg_score,avg_length,avg_reward,resets
0.59426266,35.47221504264668,3.079808120506929,3871
0.65137255,108.50122448979592,1.0080682335094544,1227
0.5518025,184.03174603174602,-0.6041479003997069,947
0.6911617,712.5287769784172,-22.39272292303528,280
0.21622042,1557.2522522522522,-91.2768054124461,113
0.019865809,1480.2774193548387,-112.31002744382309,157
0.0002714431,1439.6184210526317,-100.81856293772252,154
0.03455638,2024.576923076923,-99.08533918704606,158
0.16833937,1577.3333333333333,-83.51375140861693,188
0.000109689885,1479.8092105263158,-107.63055777737831,154
